SKU,Short Description,Long Description,Model,Category Group,Category,Manufacturer,Manufacturer SKU,Image URL,Document Name,Document URL,Unit Of Measure,Buy Cost,Trade Price,MSRP GBP,MSRP USD,MSRP EUR,Discontinued
155.0,"Adam Hall Hardware 0155 - Faux leather ""Cayman"" - embossed, black, with fabric backing",,,,,Adam Hall,4049521649318.0,,,,,,,16.1,,,False
0155100B,Adam Hall Accessories 0155100B - Gaze Type 100 | B1 250 g/m² sold by meter | 300 cm,,,,,Adam Hall,4049521162879.0,,,,,,,45.9,,,False
0155100W,"Adam Hall Accessories 0155100W - Gauze Type 100 Sold by The Meter, 3 m Wide, White",,,,,Adam Hall,4049521163005.0,,,,,,,45.9,,,False
0155X34B,Adam Hall Accessories 0155X34B - Gaze Type 100 | B1 250 g/m² with eyelets | 3 x 4 m,,,,,Adam Hall,4049521162886.0,,,,,,,170.8,,,False
0155X34W,Adam Hall Accessories 0155X34W - Gaze Type 100 | white B1 250 g/m² with eyelets | 3 x 4 m,,,,,Adam Hall,4049521162947.0,,,,,,,170.8,,,False
0155X35B,Adam Hall Accessories 0155X35B - Gaze Type 100 | B1 250 g/m² with eyelets | 3 x 5 m,,,,,Adam Hall,4049521162893.0,,,,,,,203.01,,,False
0155X35W,Adam Hall Accessories 0155X35W - Gaze Type 100 | white B1 250 g/m² with eyelets | 3 x 5 m,,,,,Adam Hall,4049521162954.0,,,,,,,203.01,,,False
0155X36B,Adam Hall Accessories 0155X36B - Gaze Type 100 | B1 250 g/m² with eyelets | 3 x 6 m,,,,,Adam Hall,4049521162909.0,,,,,,,238.01,,,False
0155X36W,Adam Hall Accessories 0155X36W - Gaze Type 100 | white B1 250 g/m² with eyelets | 3 x 6 m,,,,,Adam Hall,4049521162961.0,,,,,,,238.01,,,False
0155X45B,Adam Hall Accessories 0155X45B - Gaze Type 100 | B1 250 g/m² with eyelets | 4 x 5 m,,,,,Adam Hall,4049521162916.0,,,,,,,266.0,,,False
0155X45W,"Adam Hall Accessories 0155X45W - Gauze Type 100 4 x 5 m with Eyelets, White",,,,,Adam Hall,4049521162978.0,,,,,,,266.0,,,False
0155X46B,Adam Hall Accessories 0155X46B - Gaze Type 100 | B1 250 g/m² with eyelets | 4 x 6 m,,,,,Adam Hall,4049521162923.0,,,,,,,305.21,,,False
0155X46W,Adam Hall Accessories 0155X46W - Gaze Type 100 | B1 250 g/m² with eyelets | 4 x 6 m,,,,,Adam Hall,4049521162985.0,,,,,,,305.21,,,False
0155X56B,Adam Hall Accessories 0155X56B - Gaze Type 100 | B1 250 g/m² with eyelets | 5 x 6 m,,,,,Adam Hall,4049521162930.0,,,,,,,369.6,,,False
0155X56W,"Adam Hall Accessories 0155X56W - Gauze Type 100 5 x 6 m with Eyelets, White",,,,,Adam Hall,4049521162992.0,,,,,,,369.6,,,False
0156100B,"Adam Hall Accessories 0156100B - Gauze Type 201 Sold by The Meter, 3 m Wide, Black",,,,,Adam Hall,4049521163012.0,,,,,,,35.3,,,False
0156100W,"Adam Hall Accessories 0156100W - Gauze Type 201 Sold by The Meter, 3 m Wide, White",,,,,Adam Hall,4049521163142.0,,,,,,,35.3,,,False
0156X34B,Adam Hall Accessories 0156X34B - Gaze Type 201 | B1 125 g /m² with eyelets | 3 x 4 m,,,,,Adam Hall,4049521163029.0,,,,,,,148.41,,,False
0156X34W,Adam Hall Accessories 0156X34W - Gaze Type 201 | white B1 125 g/m² with eyelets | 3 x 4 m,,,,,Adam Hall,4049521163081.0,,,,,,,148.41,,,False
0156X35B,Adam Hall Accessories 0156X35B - Gaze Type 201 | B1 125 g/m² with eyelets | 3 x 5 m,,,,,Adam Hall,4049521163036.0,,,,,,,173.6,,,False
0156X35W,Adam Hall Accessories 0156X35W - Gaze Type 201 | white B1 125 g/m² with eyelets | 3 x 5 m,,,,,Adam Hall,4049521163098.0,,,,,,,173.6,,,False
0156X36B,Adam Hall Accessories 0156X36B - Gaze Type 201 | B1 125 g/m² with eyelets | 3 x 6 m,,,,,Adam Hall,4049521163043.0,,,,,,,201.59,,,False
0156X36W,Adam Hall Accessories 0156X36W - Gaze Type 201 | white B1 125 g/m² with eyelets | 3 x 6 m,,,,,Adam Hall,4049521163104.0,,,,,,,201.59,,,False
0156X45B,Adam Hall Accessories 0156X45B - Gaze Type 201 | B1 125 g/m² with eyelets | 4 x 5 m,,,,,Adam Hall,4049521163050.0,,,,,,,224.0,,,False
0156X45W,Adam Hall Accessories 0156X45W - Gaze Type 201 | white B1 125 g/m² with eyelets | 4 x 5 m,,,,,Adam Hall,4049521163111.0,,,,,,,224.0,,,False
0156X46B,Adam Hall Accessories 0156X46B - Gaze Type 201 | B1 125 g/m² with eyelets | 4 x 6 m,,,,,Adam Hall,4049521163067.0,,,,,,,257.6,,,False
0156X46W,Adam Hall Accessories 0156X46W - Gaze Type 201 | white B1 125 g/m² with eyelets | 4 x 6 m,,,,,Adam Hall,4049521163128.0,,,,,,,257.6,,,False
0156X56B,Adam Hall Accessories 0156X56B - Gaze Type 201 | B1 125 g/m² with eyelets | 5 x 6 m,,,,,Adam Hall,4049521163074.0,,,,,,,307.45,,,False
0156X56W,Adam Hall Accessories 0156X56W - Gaze Type 201 | white B1 125 g/m² with eyelets | 5 x 6 m,,,,,Adam Hall,4049521163135.0,,,,,,,307.45,,,False
0157100B,Adam Hall Accessories 0157100B - Gaze Type 202 | B1 140 g/m² sold by meter | 300 cm,,,,,Adam Hall,4049521163159.0,,,,,,,36.55,,,False
0157100W,"Adam Hall Accessories 0157100W - Gauze Type 202 Sold by The Meter, 3 m Wide, White",,,,,Adam Hall,4049521163289.0,,,,,,,36.55,,,False
0157X34B,Adam Hall Accessories 0157X34B - Gaze Type 202 | B1 140 g/m² with eyelets | 3 x 4 m,,,,,Adam Hall,4049521163166.0,,,,,,,154.0,,,False
0157X34W,Adam Hall Accessories 0157X34W - Gaze Type 202 | weiß B1 140 g/m² with eyelets | 3 x 4 m,,,,,Adam Hall,4049521163227.0,,,,,,,154.0,,,False
0157X35B,Adam Hall Accessories 0157X35B - Gaze Type 202 | B1 140 g/m² with eyelets | 3 x 5 m,,,,,Adam Hall,4049521163173.0,,,,,,,182.0,,,False
0157X35W,Adam Hall Accessories 0157X35W - Gaze Type 202 | white B1 140 g/m² with eyelets | 3 x 5 m,,,,,Adam Hall,4049521163234.0,,,,,,,182.0,,,False
0157X36B,Adam Hall Accessories 0157X36B - Gaze Type 202 | B1 140 g/m² with eyelets | 3 x 6 m,,,,,Adam Hall,4049521163180.0,,,,,,,210.0,,,False
0157X36W,Adam Hall Accessories 0157X36W - Gaze Type 202 | white B1 140 g/m² with eyelets | 3 x 6 m,,,,,Adam Hall,4049521163241.0,,,,,,,210.0,,,False
0157X45B,Adam Hall Accessories 0157X45B - Gaze Type 202 | B1 140 g/m² with eyelets | 4 x 5 m,,,,,Adam Hall,4049521163197.0,,,,,,,236.61,,,False
0157X45W,"Adam Hall Accessories 0157X45W - Gauze Type 202 4 x 5 m with Eyelets, White",,,,,Adam Hall,4049521163258.0,,,,,,,236.61,,,False
0157X46B,Adam Hall Accessories 0157X46B - Gaze Type 202 | B1 140 g/m² with eyelets | 4 x 6 m,,,,,Adam Hall,4049521163203.0,,,,,,,263.2,,,False
0157X46W,"Adam Hall Accessories 0157X46W - Gauze Type 202 4 x 6 m with Eyelets, White",,,,,Adam Hall,4049521163265.0,,,,,,,263.2,,,False
0157X56B,Adam Hall Accessories 0157X56B - Gaze Type 202 | B1 140 g/m² with eyelets | 5 x 6 m,,,,,Adam Hall,4049521163210.0,,,,,,,313.6,,,False
0157X56W,Adam Hall Accessories 0157X56W - Gaze Type 202 | white B1 140 g/m² with eyelets | 5 x 6 m,,,,,Adam Hall,4049521163272.0,,,,,,,313.6,,,False
0158100B,Adam Hall Accessories 0158100B - Gaze Type 203 | B1 160 g/m² sold by meter | 300 cm,,,,,Adam Hall,4049521163296.0,,,,,,,36.84,,,False
015850B,Adam Hall Accessories 015850B - Gaze Type 203 | B1 160 g/m² sold by meter | 200 cm,,,,,Adam Hall,4049521163302.0,,,,,,,25.25,,,False
