SKU,Short Description,Long Description,Model,Category Group,Category,Manufacturer,Manufacturer SKU,Image URL,Document Name,Document URL,Unit Of Measure,Buy Cost,Trade Price,MSRP GBP,MSRP USD,MSRP EUR,Discontinued
SP4020BA,Premium,,,,,KEF,,,,,Set,,,229.0,,,
SP4020BARX,Premium,,,,,KEF,,,,,Piece,,,129.0,,,
,,,,,,KEF,,,,,,,,,,,
SP4029GA,Premium,,,,,KEF,,,,,Piece,,,399.0,,,
SP4029HA,Premium,,,,,KEF,,,,,Piece,,,399.0,,,
SP4028GA,Premium,,,,,KEF,,,,,PAIR,,,230.0,,,
SP4028HA,Premium,,,,,KEF,,,,,PAIR,,,230.0,,,
,,,,,,KEF,,,,,,,,,,,
SP4004AB,Supreme,,,,,KEF,,,,,Piece,,,546.0,,,
,,,,,,KEF,,,,,,,,,,,
,,,,,,KEF,,,,,,,,,,,
SP4070B0AA,Luxury,,,,,KEF,,,,,Piece,,,11000.0,,,
SP4069B0AA,Luxury,,,,,KEF,,,,,Piece,,,8000.0,,,
,,,,,,KEF,,,,,,,,,,,
SP4079G0AA,Supreme,,,,,KEF,,,,,Piece,,,3000.0,,,
SP4078G0AA,Supreme,,,,,KEF,,,,,Piece,,,2000.0,,,
SP4023AA,Supreme,,,,,KEF,,,,,Piece,,,1700.0,,,
SP3835AA,Supreme,,,,,KEF,,,,,Piece,,,1350.0,,,
SP404044,Supreme,,,,,KEF,,,,,Piece,,,1250.0,,,
SP3927AA,Supreme,,,,,KEF,,,,,Piece,,,759.0,,,
SP3836AA,Supreme,,,,,KEF,,,,,Piece,,,759.0,,,
SP4021AA,Supreme,,,,,KEF,,,,,Piece,,,649.0,,,
SP3831AA,Supreme,,,,,KEF,,,,,Piece,,,549.0,,,
SP3838BA,Supreme,,,,,KEF,,,,,Piece,,,1349.0,,,
,,,,,,KEF,,,,,,,,,,,
SP3777AA,Supreme,,,,,KEF,,,,,Piece,,,489.0,,,
SP3775AA,Supreme,,,,,KEF,,,,,Piece,,,359.0,,,
SP3933AA,Supreme,,,,,KEF,,,,,Piece,,,269.0,,,
,,,,,,KEF,,,,,,,,,,,
SP3773AA,Supreme,,,,,KEF,,,,,Piece,,,469.0,,,
SP3771AA,Supreme,,,,,KEF,,,,,Piece,,,329.0,,,
SP3768AA,Supreme,,,,,KEF,,,,,Piece,,,269.0,,,
SP3765AA,Supreme,,,,,KEF,,,,,Piece,,,219.0,,,
SP3934AA,Supreme,,,,,KEF,,,,,Piece,,,249.0,,,
SP3769AA,Supreme,,,,,KEF,,,,,Piece,,,299.0,,,
SP3884AA,Supreme,,,,,KEF,,,,,Piece,,,359.0,,,
SP3935AA,Supreme,,,,,KEF,,,,,Piece,,,219.0,,,
SP4019AA,Supreme,,,,,KEF,,,,,Piece,,,469.0,,,
,,,,,,KEF,,,,,,,,,,,
SP3734AA,Supreme,,,,,KEF,,,,,Piece,,,469.0,,,
SP3733AA,Supreme,,,,,KEF,,,,,Piece,,,329.0,,,
SP3732AA,Supreme,,,,,KEF,,,,,Piece,,,269.0,,,
SP3936AA,Supreme,,,,,KEF,,,,,Piece,,,359.0,,,
SP3937AA,Supreme,,,,,KEF,,,,,Piece,,,249.0,,,
SP3687AA,Supreme,,,,,KEF,,,,,Piece,,,299.0,,,
SP3938AA,Supreme,,,,,KEF,,,,,Piece,,,219.0,,,
SP3830AA,Supreme,,,,,KEF,,,,,Piece,,,359.0,,,
SP3928AA,Supreme,,,,,KEF,,,,,Piece,,,219.0,,,
SP4012AA,Supreme,,,,,KEF,,,,,Piece,,,469.0,,,
,,,,,,KEF,,,,,,,,,,,
SP3910AA,Supreme,,,,,KEF,,,,,PAIR,,,418.0,,,
