SKU,Short Description,Long Description,Model,Category Group,Category,Manufacturer,Manufacturer SKU,Image URL,Document Name,Document URL,Unit Of Measure,Buy Cost,Trade Price,MSRP GBP,MSRP USD,MSRP EUR,Discontinued
0153X210,Adam Hall Accessories 0153X210 - Stage Skirt with velcro | B1 300 g/m² | 2 x 1 m,,,,,Adam Hall,4049521157356,,,,,,,42.71,,,
0153X211,Adam Hall Accessories 0153X211 - Platform Cladding B1 with Velcro 2 x 1.1 m,,,,,Adam Hall,4049521157363,,,,,,,43.21,,,
0153X6004,Adam Hall Accessories 0153X6004 - Stage Skirt with velcro | B1 300 g/m² | 60 x 0.4 m,,,,,Adam Hall,4049521204289,,,,,,,844.56,,,
0153X6006,Adam Hall Accessories 0153X6006 - Stage Skirt with velcro | B1 300 g/m² | 60 x 0.6 m,,,,,Adam Hall,4049521204296,,,,,,,1056.42,,,
0153X6008,Adam Hall Accessories 0153X6008 - Stage Skirt with velcro | B1 300 g/m² | 60 x 0.8 m,,,,,Adam Hall,4049521204302,,,,,,,1152.29,,,
0153X6010,Adam Hall Accessories 0153X6010 - Stage Skirt with velcro | B1 300 g/m² | 60 x 1 m,,,,,Adam Hall,4049521204319,,,,,,,1273.0,,,
154,"Adam Hall Hardware 0154 - Faux leather ""Alligator"" - smooth, black, with fabric backing",,,,,Adam Hall,4049521000232,,,,,,,20.93,,,
155,"Adam Hall Hardware 0155 - Faux leather ""Cayman"" - embossed, black, with fabric backing",,,,,Adam Hall,4049521649318,,,,,,,16.1,,,
0155100B,Adam Hall Accessories 0155100B - Gaze Type 100 | B1 250 g/m² sold by meter | 300 cm,,,,,Adam Hall,4049521162879,,,,,,,45.9,,,
0155100W,"Adam Hall Accessories 0155100W - Gauze Type 100 Sold by The Meter, 3 m Wide, White",,,,,Adam Hall,4049521163005,,,,,,,45.9,,,
0155X34B,Adam Hall Accessories 0155X34B - Gaze Type 100 | B1 250 g/m² with eyelets | 3 x 4 m,,,,,Adam Hall,4049521162886,,,,,,,170.8,,,
0155X34W,Adam Hall Accessories 0155X34W - Gaze Type 100 | white B1 250 g/m² with eyelets | 3 x 4 m,,,,,Adam Hall,4049521162947,,,,,,,170.8,,,
0155X35B,Adam Hall Accessories 0155X35B - Gaze Type 100 | B1 250 g/m² with eyelets | 3 x 5 m,,,,,Adam Hall,4049521162893,,,,,,,203.01,,,
0155X35W,Adam Hall Accessories 0155X35W - Gaze Type 100 | white B1 250 g/m² with eyelets | 3 x 5 m,,,,,Adam Hall,4049521162954,,,,,,,203.01,,,
0155X36B,Adam Hall Accessories 0155X36B - Gaze Type 100 | B1 250 g/m² with eyelets | 3 x 6 m,,,,,Adam Hall,4049521162909,,,,,,,238.01,,,
0155X36W,Adam Hall Accessories 0155X36W - Gaze Type 100 | white B1 250 g/m² with eyelets | 3 x 6 m,,,,,Adam Hall,4049521162961,,,,,,,238.01,,,
0155X45B,Adam Hall Accessories 0155X45B - Gaze Type 100 | B1 250 g/m² with eyelets | 4 x 5 m,,,,,Adam Hall,4049521162916,,,,,,,266.0,,,
0155X45W,"Adam Hall Accessories 0155X45W - Gauze Type 100 4 x 5 m with Eyelets, White",,,,,Adam Hall,4049521162978,,,,,,,266.0,,,
0155X46B,Adam Hall Accessories 0155X46B - Gaze Type 100 | B1 250 g/m² with eyelets | 4 x 6 m,,,,,Adam Hall,4049521162923,,,,,,,305.21,,,
0155X46W,Adam Hall Accessories 0155X46W - Gaze Type 100 | B1 250 g/m² with eyelets | 4 x 6 m,,,,,Adam Hall,4049521162985,,,,,,,305.21,,,
0155X56B,Adam Hall Accessories 0155X56B - Gaze Type 100 | B1 250 g/m² with eyelets | 5 x 6 m,,,,,Adam Hall,4049521162930,,,,,,,369.6,,,
0155X56W,"Adam Hall Accessories 0155X56W - Gauze Type 100 5 x 6 m with Eyelets, White",,,,,Adam Hall,4049521162992,,,,,,,369.6,,,
0156100B,"Adam Hall Accessories 0156100B - Gauze Type 201 Sold by The Meter, 3 m Wide, Black",,,,,Adam Hall,4049521163012,,,,,,,35.3,,,
0156100W,"Adam Hall Accessories 0156100W - Gauze Type 201 Sold by The Meter, 3 m Wide, White",,,,,Adam Hall,4049521163142,,,,,,,35.3,,,
0156X34B,Adam Hall Accessories 0156X34B - Gaze Type 201 | B1 125 g /m² with eyelets | 3 x 4 m,,,,,Adam Hall,4049521163029,,,,,,,148.41,,,
0156X34W,Adam Hall Accessories 0156X34W - Gaze Type 201 | white B1 125 g/m² with eyelets | 3 x 4 m,,,,,Adam Hall,4049521163081,,,,,,,148.41,,,
0156X35B,Adam Hall Accessories 0156X35B - Gaze Type 201 | B1 125 g/m² with eyelets | 3 x 5 m,,,,,Adam Hall,4049521163036,,,,,,,173.6,,,
0156X35W,Adam Hall Accessories 0156X35W - Gaze Type 201 | white B1 125 g/m² with eyelets | 3 x 5 m,,,,,Adam Hall,4049521163098,,,,,,,173.6,,,
0156X36B,Adam Hall Accessories 0156X36B - Gaze Type 201 | B1 125 g/m² with eyelets | 3 x 6 m,,,,,Adam Hall,4049521163043,,,,,,,201.59,,,
0156X36W,Adam Hall Accessories 0156X36W - Gaze Type 201 | white B1 125 g/m² with eyelets | 3 x 6 m,,,,,Adam Hall,4049521163104,,,,,,,201.59,,,
0156X45B,Adam Hall Accessories 0156X45B - Gaze Type 201 | B1 125 g/m² with eyelets | 4 x 5 m,,,,,Adam Hall,4049521163050,,,,,,,224.0,,,
0156X45W,Adam Hall Accessories 0156X45W - Gaze Type 201 | white B1 125 g/m² with eyelets | 4 x 5 m,,,,,Adam Hall,4049521163111,,,,,,,224.0,,,
0156X46B,Adam Hall Accessories 0156X46B - Gaze Type 201 | B1 125 g/m² with eyelets | 4 x 6 m,,,,,Adam Hall,4049521163067,,,,,,,257.6,,,
0156X46W,Adam Hall Accessories 0156X46W - Gaze Type 201 | white B1 125 g/m² with eyelets | 4 x 6 m,,,,,Adam Hall,4049521163128,,,,,,,257.6,,,
0156X56B,Adam Hall Accessories 0156X56B - Gaze Type 201 | B1 125 g/m² with eyelets | 5 x 6 m,,,,,Adam Hall,4049521163074,,,,,,,307.45,,,
0156X56W,Adam Hall Accessories 0156X56W - Gaze Type 201 | white B1 125 g/m² with eyelets | 5 x 6 m,,,,,Adam Hall,4049521163135,,,,,,,307.45,,,
0157100B,Adam Hall Accessories 0157100B - Gaze Type 202 | B1 140 g/m² sold by meter | 300 cm,,,,,Adam Hall,4049521163159,,,,,,,36.55,,,
0157100W,"Adam Hall Accessories 0157100W - Gauze Type 202 Sold by The Meter, 3 m Wide, White",,,,,Adam Hall,4049521163289,,,,,,,36.55,,,
0157X34B,Adam Hall Accessories 0157X34B - Gaze Type 202 | B1 140 g/m² with eyelets | 3 x 4 m,,,,,Adam Hall,4049521163166,,,,,,,154.0,,,
0157X34W,Adam Hall Accessories 0157X34W - Gaze Type 202 | weiß B1 140 g/m² with eyelets | 3 x 4 m,,,,,Adam Hall,4049521163227,,,,,,,154.0,,,
0157X35B,Adam Hall Accessories 0157X35B - Gaze Type 202 | B1 140 g/m² with eyelets | 3 x 5 m,,,,,Adam Hall,4049521163173,,,,,,,182.0,,,
0157X35W,Adam Hall Accessories 0157X35W - Gaze Type 202 | white B1 140 g/m² with eyelets | 3 x 5 m,,,,,Adam Hall,4049521163234,,,,,,,182.0,,,
0157X36B,Adam Hall Accessories 0157X36B - Gaze Type 202 | B1 140 g/m² with eyelets | 3 x 6 m,,,,,Adam Hall,4049521163180,,,,,,,210.0,,,
0157X36W,Adam Hall Accessories 0157X36W - Gaze Type 202 | white B1 140 g/m² with eyelets | 3 x 6 m,,,,,Adam Hall,4049521163241,,,,,,,210.0,,,
0157X45B,Adam Hall Accessories 0157X45B - Gaze Type 202 | B1 140 g/m² with eyelets | 4 x 5 m,,,,,Adam Hall,4049521163197,,,,,,,236.61,,,
0157X45W,"Adam Hall Accessories 0157X45W - Gauze Type 202 4 x 5 m with Eyelets, White",,,,,Adam Hall,4049521163258,,,,,,,236.61,,,
0157X46B,Adam Hall Accessories 0157X46B - Gaze Type 202 | B1 140 g/m² with eyelets | 4 x 6 m,,,,,Adam Hall,4049521163203,,,,,,,263.2,,,
0157X46W,"Adam Hall Accessories 0157X46W - Gauze Type 202 4 x 6 m with Eyelets, White",,,,,Adam Hall,4049521163265,,,,,,,263.2,,,
0157X56B,Adam Hall Accessories 0157X56B - Gaze Type 202 | B1 140 g/m² with eyelets | 5 x 6 m,,,,,Adam Hall,4049521163210,,,,,,,313.6,,,
0157X56W,Adam Hall Accessories 0157X56W - Gaze Type 202 | white B1 140 g/m² with eyelets | 5 x 6 m,,,,,Adam Hall,4049521163272,,,,,,,313.6,,,
0158100B,Adam Hall Accessories 0158100B - Gaze Type 203 | B1 160 g/m² sold by meter | 300 cm,,,,,Adam Hall,4049521163296,,,,,,,36.84,,,
015850B,Adam Hall Accessories 015850B - Gaze Type 203 | B1 160 g/m² sold by meter | 200 cm,,,,,Adam Hall,4049521163302,,,,,,,25.25,,,
0158X34B,Adam Hall Accessories 0158X34B - Gaze Type 203 | B1 160 g/m² with eyelets | 3 x 4 m,,,,,Adam Hall,4049521163319,,,,,,,154.0,,,
0158X35B,Adam Hall Accessories 0158X35B - Gaze Type 203 | B1 160 g/m² with eyelets | 3 x 5 m,,,,,Adam Hall,4049521163326,,,,,,,182.0,,,
0158X36B,Adam Hall Accessories 0158X36B - Gaze Type 203 | B1 160 g/m² with eyelets | 3 x 6 m,,,,,Adam Hall,4049521163333,,,,,,,210.0,,,
0158X45B,Adam Hall Accessories 0158X45B - Gaze Type 203 | B1 160 g/m² with eyelets | 4 x 5 m,,,,,Adam Hall,4049521163340,,,,,,,236.61,,,
0158X46B,Adam Hall Accessories 0158X46B - Gaze Type 203 | B1 160 g/m² with eyelets | 4 x 6 m,,,,,Adam Hall,4049521163357,,,,,,,270.0,,,
0158X56B,Adam Hall Accessories 0158X56B - Gaze Type 203 | B1 160 g/m² with eyelets | 5 x 6 m,,,,,Adam Hall,4049521163364,,,,,,,322.0,,,
0159ABSTAND,"Adam Hall Accessories 0159ABSTAND - Fence Panel ""Bitte Abstand halten"" Gauze type 800 1.76 x 3.41 m, with eyelets, white",,,,,Adam Hall,4049521542688,,,,,,,215.0,,,
0159DISTANCE,"Adam Hall Accessories 0159DISTANCE - Fence Panel ""Please Keep Distance"" Gauze type 800 1.76 x 3.41 m, with eyelets, white",,,,,Adam Hall,4049521542695,,,,,,,215.0,,,
0159XBAU1,"Adam Hall Accessories 0159XBAU1 - Fence Panel Gauze Type 800 1.76 x 3.41 m with Eyelets, Black",,,,,Adam Hall,4049521177576,,,,,,,86.8,,,
0159XBAU2,"Adam Hall Accessories 0159XBAU2 - Fence Panel Gauze Type 800 1.76 x 3.41 m with Eyelets, Grey",,,,,Adam Hall,4049521177583,,,,,,,86.8,,,
0159XBAU3,"Adam Hall Accessories 0159XBAU3 - Fence Panel Gauze Type 800 1.76 x 3.41 m, with Eyelets, White",,,,,Adam Hall,4049521177590,,,,,,,86.8,,,
0159XBAU4,"Adam Hall Accessories 0159XBAU4 - Fence Panel Gauze Type 800 1.76 x 3.41 m with Eyelets, Green",,,,,Adam Hall,4049521177606,,,,,,,86.8,,,
0159XBAU5,"Adam Hall Accessories 0159XBAU5 - Fence Panel Gauze Type 800 1.76 x 3.41 m, with Eyelets, Dark Blue",,,,,Adam Hall,4049521177613,,,,,,,86.8,,,
0159XBAU6,"Adam Hall Accessories 0159XBAU6 - Fence Panel Gauze Type 800 1.76 x 3.41 m, with Eyelets, Light Blue",,,,,Adam Hall,4049521177620,,,,,,,86.8,,,
0159XBAU7,"Adam Hall Accessories 0159XBAU7 - Fence Panel Gauze Type 800 1.76 x 3.41 m, with Eyelets, Red",,,,,Adam Hall,4049521177637,,,,,,,86.8,,,
0159XBAU8,"Adam Hall Accessories 0159XBAU8 - Fence Panel Gauze Type 800 1.76 x 3.41 m, with Eyelets, Orange",,,,,Adam Hall,4049521177644,,,,,,,86.8,,,
0159XBAU9,"Adam Hall Accessories 0159XBAU9 - Fence Panel Gauze Type 800 1.76  x 3.41 m, with Eyelets, Yellow",,,,,Adam Hall,4049521177651,,,,,,,86.8,,,
0160B,Adam Hall Accessories 0160B - Acoustic Molton | B1 500 g/m² | 300 cm,,,,,Adam Hall,4049521211287,,,,,,,36.19,,,
0160WH,Adam Hall Accessories 0160WH - Acoustic Molton | B1 500 g/m² | 300 cm,,,,,Adam Hall,4049521211294,,,,,,,33.87,,,
0160X33,Adam Hall Accessories 0160X33 - Acoustic Molton | B1 500 g/m² | 3 x 3 m,,,,,Adam Hall,4049521211300,,,,,,,186.57,,,
0160X33WH,Adam Hall Accessories 0160X33WH - Acoustic Molton | B1 500 g/m² | 3 x 3 m,,,,,Adam Hall,4049521211317,,,,,,,163.35,,,
0160X43,Adam Hall Accessories 0160X43 - Acoustic Molton | B1 500 g/m² | 4 x 3 m,,,,,Adam Hall,4049521211324,,,,,,,251.46,,,
0160X43WH,Adam Hall Accessories 0160X43WH - Acoustic Molton | B1 500 g/m² | 4 x 3 m,,,,,Adam Hall,4049521211331,,,,,,,228.68,,,
0160X53,Adam Hall Accessories 0160X53 - Acoustic Molton | B1 500 g/m² | 5 x 3 m,,,,,Adam Hall,4049521211348,,,,,,,316.42,,,
0160X53WH,Adam Hall Accessories 0160X53WH - Acoustic Molton | B1 500 g/m² | 5 x 3 m,,,,,Adam Hall,4049521211355,,,,,,,278.12,,,
0163T0050B,Adam Hall Accessories 0163T0050B - Truss Cover B1 for 3- and 4-Point Traverses Black 0.5 m,,,,,Adam Hall,4049521213441,,,,,,,14.68,,,
0163T0050WH,Adam Hall Accessories 0163T0050WH - Truss Cover B1 for 3- and 4-Point Traverses White 0.5 m,,,,,Adam Hall,4049521213366,,,,,,,13.05,,,
0163T0100B,Adam Hall Accessories 0163T0100B - Truss Cover B1 for 3- and 4-Point Traverses Black 1 m,,,,,Adam Hall,4049521213458,,,,,,,24.47,,,
